Language,Class,Code Smell #,Category,Code Smell,Method,Type,Identifier
Python,Shop,1,Bloaters,Large Class,,"The `Shop` class has too many responsibilities, including handling customer info, promotions, and complaints.",Python_Shop__Large Class
Python,Shop,2,Bloaters,Long Method,long_method,"The `long_method` performs multiple tasks in a single method, making it overly complex.",Python_Shop_long_method_Long Method
Python,Shop,3,Dispensables,Dead Code,another_unused_method,The `another_unused_method` is defined but never used in the code.,Python_Shop_another_unused_method_Dead Code
Python,Shop,4,Dispensables,Dead Code,yet_another_unused_method,The `yet_another_unused_method` is defined but never used in the code.,Python_Shop_yet_another_unused_method_Dead Code
Python,Shop,5,Object-Orientation Abusers,Speculative Generality,notify_for_promotion,The `notify_for_promotion` method seems to be a placeholder for future functionality.,Python_Shop_notify_for_promotion_Speculative Generality
Python,Shop,6,Object-Orientation Abusers,Speculative Generality,notify_for_discount,The `notify_for_discount` method seems to be a placeholder for future functionality.,Python_Shop_notify_for_discount_Speculative Generality
Python,Shop,7,Object-Orientation Abusers,Speculative Generality,notify_for_new_arrivals,The `notify_for_new_arrivals` method seems to be a placeholder for future functionality.,Python_Shop_notify_for_new_arrivals_Speculative Generality
Python,Shop,8,Object-Orientation Abusers,Speculative Generality,apply_discount,The `apply_discount` method seems to be a placeholder for future functionality.,Python_Shop_apply_discount_Speculative Generality
Python,Shop,9,Object-Orientation Abusers,Speculative Generality,apply_loyalty_points,The `apply_loyalty_points` method seems to be a placeholder for future functionality.,Python_Shop_apply_loyalty_points_Speculative Generality
Python,Shop,10,Object-Orientation Abusers,Speculative Generality,ask_for_receipt,The `ask_for_receipt` method seems to be a placeholder for future functionality.,Python_Shop_ask_for_receipt_Speculative Generality
Python,Shop,11,Couplers,Middle Man,middleman_method,The `middleman_method` only delegates to another method without adding value.,Python_Shop_middleman_method_Middle Man
Python,Shop,12,Couplers,Message Chains,chain_of_methods,"The `chain_of_methods` initiates a chain of method calls, creating unnecessary dependencies.",Python_Shop_chain_of_methods_Message Chains
Python,Shop,13,Dispensables,Data Class,,"The `Shop` class primarily holds data with minimal behavior, making it a data class.",Python_Shop__Data Class
Python,Shop,14,Bloaters,Data Clumps,update_contact_info,The `update_contact_info` method groups related data fields that could be encapsulated in a separate class.,Python_Shop_update_contact_info_Data Clumps
Python,Shop,15,Bloaters,Primitive Obsession,__init__,The `__init__` method uses primitive types for customer info instead of encapsulating them in a class.,Python_Shop___init___Primitive Obsession
Python,Shop,16,Object-Orientation Abusers,Switch Statements,handle_complaint,"The `handle_complaint` method uses repetitive if-else statements, which could be refactored.",Python_Shop_handle_complaint_Switch Statements
Python,Shop,17,Dispensables,Duplicate Code,handle_complaint,The `handle_complaint` method contains redundant calls to `calm_customer_down`.,Python_Shop_handle_complaint_Duplicate Code
Python,Shop,18,Bloaters,Long Parameter List,update_contact_info,"The `update_contact_info` method has too many parameters, making it difficult to maintain.",Python_Shop_update_contact_info_Long Parameter List
Python,Shop,19,Dispensables,Dead Code,order_with_unnecessary_details,The `order_with_unnecessary_details` method is defined but its functionality is redundant or unused.,Python_Shop_order_with_unnecessary_details_Dead Code
Python,Pizza,1,Bloaters,Large Class,,"The `Pizza` class has too many responsibilities, including handling customer info, promotions, and complaints.",Python_Pizza__Large Class
Python,Pizza,2,Bloaters,Long Method,long_method,"The `long_method` performs multiple tasks in a single method, making it overly complex.",Python_Pizza_long_method_Long Method
Python,Pizza,3,Bloaters,Long Parameter List,order_with_unnecessary_details,"The `order_with_unnecessary_details` method has too many parameters, making it difficult to maintain.",Python_Pizza_order_with_unnecessary_details_Long Parameter List
Python,Pizza,4,Dispensables,Duplicate Code,duplicate_method,The `duplicate_method` contains redundant code by setting the topping twice.,Python_Pizza_duplicate_method_Duplicate Code
Python,Pizza,5,Dispensables,Dead Code,another_unused_method,The `another_unused_method` is defined but never used in the code.,Python_Pizza_another_unused_method_Dead Code
Python,Pizza,6,Dispensables,Dead Code,yet_another_unused_method,The `yet_another_unused_method` is defined but never used in the code.,Python_Pizza_yet_another_unused_method_Dead Code
Python,Pizza,7,Dispensables,Dead Code,refused_bequest,The `refused_bequest` method is defined but never used in the code.,Python_Pizza_refused_bequest_Dead Code
Python,Pizza,8,Object-Orientation Abusers,Refused Bequest,refused_bequest,The `refused_bequest` method in the `Pizza` class is inherited but not used by subclasses.,Python_Pizza_refused_bequest_Refused Bequest
Python,Pizza,9,Couplers,Middle Man,middleman_method,The `middleman_method` only delegates to another method without adding value.,Python_Pizza_middleman_method_Middle Man
Python,Pizza,10,Couplers,Message Chains,chain_of_methods,"The `chain_of_methods` initiates a chain of method calls, creating unnecessary dependencies.",Python_Pizza_chain_of_methods_Message Chains
Python,Pizza,11,Dispensables,Data Class,,"The `Pizza` class primarily holds data with minimal behavior, making it a data class.",Python_Pizza__Data Class
Python,Pizza,12,Bloaters,Data Clumps,update_customer_info,The `update_customer_info` method groups related data fields that could be encapsulated in a separate class.,Python_Pizza_update_customer_info_Data Clumps
Python,Pizza,13,Bloaters,Primitive Obsession,__init__,The `__init__` method uses primitive types for customer info instead of encapsulating them in a class.,Python_Pizza___init___Primitive Obsession
Python,Pizza,14,Object-Orientation Abusers,Speculative Generality,notify_for_promotion,The `notify_for_promotion` method seems to be a placeholder for future functionality.,Python_Pizza_notify_for_promotion_Speculative Generality
Python,Pizza,15,Object-Orientation Abusers,Speculative Generality,notify_for_discount,The `notify_for_discount` method seems to be a placeholder for future functionality.,Python_Pizza_notify_for_discount_Speculative Generality
Python,Pizza,16,Object-Orientation Abusers,Speculative Generality,notify_for_new_arrivals,The `notify_for_new_arrivals` method seems to be a placeholder for future functionality.,Python_Pizza_notify_for_new_arrivals_Speculative Generality
Python,Pizza,17,Object-Orientation Abusers,Speculative Generality,apply_discount,The `apply_discount` method seems to be a placeholder for future functionality.,Python_Pizza_apply_discount_Speculative Generality
Python,Pizza,18,Object-Orientation Abusers,Speculative Generality,apply_loyalty_points,The `apply_loyalty_points` method seems to be a placeholder for future functionality.,Python_Pizza_apply_loyalty_points_Speculative Generality
Python,Pizza,19,Object-Orientation Abusers,Speculative Generality,ask_for_receipt,The `ask_for_receipt` method seems to be a placeholder for future functionality.,Python_Pizza_ask_for_receipt_Speculative Generality
Python,Drink,1,Bloaters,Primitive Obsession,create_order,Using a primitive (string) to represent drink type instead of a dedicated class or enum.,Python_Drink_create_order_Primitive Obsession
Python,Drink,2,Dispensables,Data Class,,"The `Drink` class primarily holds data (drink_type) with minimal behavior, making it a data class.",Python_Drink__Data Class
Python,Drink,3,Object-Orientation Abusers,Temporary Field,create_order,"The `drink_type` field is set after initialization and not properly validated, acting as a temporary field.",Python_Drink_create_order_Temporary Field
Python,Customer,1,Bloaters,Large Class,,"The `Customer` class handles multiple responsibilities (ordering, complaints, promotions, contact updates).",Python_Customer__Large Class
Python,Customer,2,Bloaters,Long Parameter List,order_with_unnecessary_details,"The `order_with_unnecessary_details` calls `order_pizza` with excessive parameters, violating method definition.",Python_Customer_order_with_unnecessary_details_Long Parameter List
Python,Customer,3,Bloaters,Primitive Obsession,update_contact_info,Uses primitive types for customer info instead of encapsulating them in a dedicated class.,Python_Customer_update_contact_info_Primitive Obsession
Python,Customer,4,Bloaters,Data Clumps,update_contact_info,Groups related customer data fields that could be encapsulated in a separate class.,Python_Customer_update_contact_info_Data Clumps
Python,Customer,5,Dispensables,Dead Code,another_unused_method,The method is defined but never used.,Python_Customer_another_unused_method_Dead Code
Python,Customer,6,Dispensables,Dead Code,yet_another_unused_method,The method is defined but never used.,Python_Customer_yet_another_unused_method_Dead Code
Python,Customer,7,Dispensables,Duplicate Code,duplicate_complaint,Repeated calls to `self.complain` with identical arguments.,Python_Customer_duplicate_complaint_Duplicate Code
Python,Customer,8,Object-Orientation Abusers,Switch Statements,handle_complaint,Uses a chain of if-else statements to handle complaints.,Python_Customer_handle_complaint_Switch Statements
Python,Customer,9,Object-Orientation Abusers,Refused Bequest,refused_bequest,"Empty method inherited but not used, indicating a refusal of inheritance.",Python_Customer_refused_bequest_Refused Bequest
Python,Customer,10,Object-Orientation Abusers,Temporary Field,__init__,"Fields like `first_name`, `email` are initialized as `None` and set later, risking inconsistent states.",Python_Customer___init___Temporary Field
Python,Customer,11,Couplers,Message Chains,chain_of_methods,"Calls a deep chain `pizza_shop.casher.chef.clean_kitchen()`, creating tight coupling.",Python_Customer_chain_of_methods_Message Chains
Python,Customer,12,Couplers,Middle Man,middleman_method,Delegates through `middle_method` to `real_method` without adding value.,Python_Customer_middleman_method_Middle Man
Python,Customer,13,Couplers,Inappropriate Intimacy,access_internal_details,Directly accesses internal details of `pizza_shop.casher.chef.busy`.,Python_Customer_access_internal_details_Inappropriate Intimacy
Python,Customer,14,Object-Orientation Abusers,Speculative Generality,notify_for_promotion,"Placeholder method with minimal implementation, likely meant for future use.",Python_Customer_notify_for_promotion_Speculative Generality
Python,Customer,15,Object-Orientation Abusers,Speculative Generality,apply_discount,"Placeholder method with minimal implementation, likely meant for future use.",Python_Customer_apply_discount_Speculative Generality
Python,Customer,16,Change Preventers,Divergent Change,update_contact_info,"Changing customer info requires modifying multiple methods (e.g., `update_name`, `update_address`).",Python_Customer_update_contact_info_Divergent Change
Python,Chef,1,Bloaters,Large Class,,"The `Chef` class handles multiple responsibilities (baking, cleaning, customer info, promotions).",Python_Chef__Large Class
Python,Chef,2,Bloaters,Long Method,long_method,"The `long_method` performs multiple tasks in a single method, making it overly complex.",Python_Chef_long_method_Long Method
Python,Chef,3,Bloaters,Primitive Obsession,update_contact_info,Uses primitive types for customer info instead of encapsulating them in a dedicated class.,Python_Chef_update_contact_info_Primitive Obsession
Python,Chef,4,Bloaters,Data Clumps,update_contact_info,Groups related customer data fields that could be encapsulated in a separate class.,Python_Chef_update_contact_info_Data Clumps
Python,Chef,5,Dispensables,Dead Code,another_unused_method,The method is defined but never used.,Python_Chef_another_unused_method_Dead Code
Python,Chef,6,Dispensables,Dead Code,yet_another_unused_method,The method is defined but never used.,Python_Chef_yet_another_unused_method_Dead Code
Python,Chef,7,Dispensables,Duplicate Code,duplicate_method,Repeated calls to `self.bake_pizza` with identical arguments.,Python_Chef_duplicate_method_Duplicate Code
Python,Chef,8,Object-Orientation Abusers,Switch Statements,handle_complaint,Uses a chain of if-else statements to handle complaints.,Python_Chef_handle_complaint_Switch Statements
Python,Chef,9,Object-Orientation Abusers,Refused Bequest,refused_bequest,"Empty method inherited but not used, indicating a refusal of inheritance.",Python_Chef_refused_bequest_Refused Bequest
Python,Chef,10,Object-Orientation Abusers,Temporary Field,__init__,"Fields like `first_name`, `email` are initialized as `None` and set later, risking inconsistent states.",Python_Chef___init___Temporary Field
Python,Chef,11,Couplers,Middle Man,middleman_method,Delegates through `middle_method` to `real_method` without adding value.,Python_Chef_middleman_method_Middle Man
Python,Chef,12,Couplers,Message Chains,chain_of_methods,"Calls a chain of methods (`clean_kitchen`), creating unnecessary dependencies.",Python_Chef_chain_of_methods_Message Chains
Python,Chef,13,Object-Orientation Abusers,Speculative Generality,notify_for_promotion,"Placeholder method with minimal implementation, likely meant for future use.",Python_Chef_notify_for_promotion_Speculative Generality
Python,Chef,14,Object-Orientation Abusers,Speculative Generality,apply_discount,"Placeholder method with minimal implementation, likely meant for future use.",Python_Chef_apply_discount_Speculative Generality
Python,Chef,15,Change Preventers,Divergent Change,update_contact_info,"Changing customer info requires modifying multiple methods (e.g., `update_name`, `update_address`).",Python_Chef_update_contact_info_Divergent Change
Python,Chef,16,Dispensables,Data Class,,"The `Chef` class primarily holds data with minimal behavior, making it a data class.",Python_Chef__Data Class
Python,Chef,17,Bloaters,Long Parameter List,order_with_unnecessary_details,"The method has too many parameters, making it difficult to maintain.",Python_Chef_order_with_unnecessary_details_Long Parameter List
Python,Chef,18,Dispensables,Dead Code,order_with_unnecessary_details,The method is defined but its functionality is redundant or unused.,Python_Chef_order_with_unnecessary_details_Dead Code
Python,Cashier,1,Bloaters,Data Clumps,update_contact_info,"Related fields (first_name, last_name, address, etc.) could be encapsulated into a Customer class",Python_Cashier_update_contact_info_Data Clumps
Python,Cashier,2,Bloaters,Long Method,long_method,"Method handles multiple tasks (taking orders, hurrying chef, calming customer, etc.) in one place",Python_Cashier_long_method_Long Method
Python,Cashier,3,Bloaters,Long Parameter List,order_with_unnecessary_details,"Method has excessive parameters (pizza_type, size, crust_type, toppings, etc.)",Python_Cashier_order_with_unnecessary_details_Long Parameter List
Python,Cashier,4,Object-Orientation Abusers,Switch Statements,handle_complaint,"Repeated if-else chain for complaints, all leading to the same action",Python_Cashier_handle_complaint_Switch Statements
Python,Cashier,5,Object-Orientation Abusers,Temporary Field,,Fields like temp_discount_code and temp_order_note are only used under specific conditions,Python_Cashier__Temporary Field
Python,Cashier,6,Object-Orientation Abusers,Refused Bequest,refused_bequest,Empty method inherited but not used,Python_Cashier_refused_bequest_Refused Bequest
Python,Cashier,7,Dispensables,Dead Code,another_unused_method,Unused method with no functionality,Python_Cashier_another_unused_method_Dead Code
Python,Cashier,8,Dispensables,Dead Code,yet_another_unused_method,Unused method with no functionality,Python_Cashier_yet_another_unused_method_Dead Code
Python,Cashier,9,Dispensables,Duplicate Code,duplicate_method,"Repeated calls to take_order(""Cheese"")",Python_Cashier_duplicate_method_Duplicate Code
Python,Cashier,10,Couplers,Middle Man,middleman_method,"Method only delegates to middle_method, which further delegates to real_method",Python_Cashier_middleman_method_Middle Man
Python,Cashier,11,Couplers,Feature Envy,access_internal_details,Directly accesses internal chef.busy field instead of encapsulating behavior,Python_Cashier_access_internal_details_Feature Envy
