Model,Category,True Positives (TP),False Positives (FP),False Negatives (FN),Precision,Recall,F1-score
GPT-4,Bloaters,62,25,40,0.7126436781609196,0.6078431372549019,0.6560846560846562
DeepSeek,Bloaters,28,68,74,0.2916666666666667,0.27450980392156865,0.2828282828282829
GPT-4,Couplers,58,5,10,0.9206349206349206,0.8529411764705882,0.8854961832061068
DeepSeek,Couplers,44,13,24,0.7719298245614035,0.6470588235294118,0.704
GPT-4,Change Preventers,5,0,190,1.0,0.02564102564102564,0.05
DeepSeek,Change Preventers,0,19,195,0.0,0.0,0.0
GPT-4,Dispensables,50,17,22,0.746268656716418,0.6944444444444444,0.7194244604316546
DeepSeek,Dispensables,47,40,25,0.5402298850574713,0.6527777777777778,0.5911949685534591
GPT-4,Object-Orientation Abusers,22,5,19,0.8148148148148148,0.5365853658536586,0.6470588235294118
DeepSeek,Object-Orientation Abusers,25,62,16,0.28735632183908044,0.6097560975609756,0.39062499999999994
