Language,Class,Code Smell #,Category,Code Smell,Method,Type,Identifier
Python,Shop,1,Bloaters,Large Class,Entire Class,"The class handles multiple responsibilities: order taking, promotions, complaints, contact management, and payments.",Python_Shop_Entire Class_Large Class
Python,Shop,2,Bloaters,Primitive Obsession,__init__,"Using primitive types (`bool`, `str`) instead of encapsulating related data into meaningful objects.",Python_Shop___init___Primitive Obsession
Python,Shop,3,Bloaters,Data Clumps,__init__,"Grouped customer details (`first_name`, `last_name`, `address`, `phone_number`, `email`) should be encapsulated in a Customer object.",Python_Shop___init___Data Clumps
Python,Shop,4,Object-Orientation Abusers,Switch Statements,handle_complaint,Overuse of if-else statements to handle different complaint types.,Python_Shop_handle_complaint_Switch Statements
Python,Shop,5,Change Preventers,Divergent Change,notify_for_promotion,Multiple notification methods each handling separate concerns.,Python_Shop_notify_for_promotion_Divergent Change
Python,Shop,6,Change Preventers,Divergent Change,notify_for_discount,"Similar to `notify_for_promotion`, but managed separately.",Python_Shop_notify_for_discount_Divergent Change
Python,Shop,7,Change Preventers,Divergent Change,notify_for_new_arrivals,Another notification method that should be unified.,Python_Shop_notify_for_new_arrivals_Divergent Change
Python,Shop,8,Change Preventers,Parallel Inheritance Hierarchies,apply_discount,Parallel implementation of discount and loyalty points logic.,Python_Shop_apply_discount_Parallel Inheritance Hierarchies
Python,Shop,9,Change Preventers,Parallel Inheritance Hierarchies,apply_loyalty_points,Another parallel logic similar to `apply_discount`.,Python_Shop_apply_loyalty_points_Parallel Inheritance Hierarchies
Python,Shop,10,Dispensables,Speculative Generality,ask_for_receipt,Method is present but never used in any flow.,Python_Shop_ask_for_receipt_Speculative Generality
Python,Shop,11,Dispensables,Dead Code,another_unused_method,Unused method that can be removed.,Python_Shop_another_unused_method_Dead Code
Python,Shop,12,Dispensables,Dead Code,yet_another_unused_method,Another unused method that can be removed.,Python_Shop_yet_another_unused_method_Dead Code
Python,Shop,13,Dispensables,Duplicate Code,"update_name, update_address, update_phone_number, update_email",These methods redundantly update single fields instead of using `update_contact_info`.,"Python_Shop_update_name, update_address, update_phone_number, update_email_Duplicate Code"
Python,Shop,14,Couplers,Inappropriate Intimacy,access_internal_details,Accessing internal attributes (`self.casher.chef.busy`) from another class.,Python_Shop_access_internal_details_Inappropriate Intimacy
Python,Shop,15,Couplers,Message Chains,chain_of_methods,Excessive method chaining (`self.casher.chef.clean_kitchen()`).,Python_Shop_chain_of_methods_Message Chains
Python,Shop,16,Couplers,Middle Man,middleman_method,Delegates work without adding value.,Python_Shop_middleman_method_Middle Man
Python,Shop,17,Bloaters,Long Method,long_method,"Performs multiple actions in a single method, reducing readability.",Python_Shop_long_method_Long Method
Python,Shop,18,Dispensables,Duplicate Code,order_with_unnecessary_details,Repeated functionality with identical operations on the same attribute.,Python_Shop_order_with_unnecessary_details_Duplicate Code
Python,Pizza,1,Bloaters,Large Class,__init__,The class handles both pizza attributes and customer details.,Python_Pizza___init___Large Class
Python,Pizza,2,Bloaters,Data Clumps,update_customer_info,Customer details should be encapsulated into a separate class.,Python_Pizza_update_customer_info_Data Clumps
Python,Pizza,3,Bloaters,Long Method,long_method,Performs multiple unrelated operations in a single function.,Python_Pizza_long_method_Long Method
Python,Pizza,4,Bloaters,Long Parameter List,order_with_unnecessary_details,Excessive parameters should be refactored into an object.,Python_Pizza_order_with_unnecessary_details_Long Parameter List
Python,Pizza,5,Bloaters,Primitive Obsession,__init__,Uses multiple string fields for customer information instead of a structured object.,Python_Pizza___init___Primitive Obsession
Python,Pizza,6,Object-Orientation Abusers,Switch Statements,handle_complaint,Uses multiple if-else statements instead of a polymorphic solution.,Python_Pizza_handle_complaint_Switch Statements
Python,Pizza,7,Object-Orientation Abusers,Temporary Field,__init__,Fields like temp_discount_code and temp_order_note are not always used.,Python_Pizza___init___Temporary Field
Python,Pizza,8,Dispensables,Duplicate Code,duplicate_method,Repeated method calls without meaningful variation.,Python_Pizza_duplicate_method_Duplicate Code
Python,Pizza,9,Dispensables,Lazy Class,refused_bequest,This method exists but does nothing.,Python_Pizza_refused_bequest_Lazy Class
Python,Pizza,10,Dispensables,Dead Code,another_unused_method,Unused method without any purpose.,Python_Pizza_another_unused_method_Dead Code
Python,Pizza,11,Dispensables,Dead Code,yet_another_unused_method,Unused method without any purpose.,Python_Pizza_yet_another_unused_method_Dead Code
Python,Pizza,12,Couplers,Feature Envy,access_internal_details,Method accesses multiple internal attributes instead of encapsulating behavior.,Python_Pizza_access_internal_details_Feature Envy
Python,Pizza,13,Couplers,Message Chains,chain_of_methods,A sequence of method calls creating unnecessary dependencies.,Python_Pizza_chain_of_methods_Message Chains
Python,Pizza,14,Couplers,Middle Man,middleman_method,Delegates work to another method without adding value.,Python_Pizza_middleman_method_Middle Man
Python,CheesePizza,15,Object-Orientation Abusers,Refused Bequest,handle_complaint,Subclasses override method in a way that suggests bad inheritance design.,Python_CheesePizza_handle_complaint_Refused Bequest
Python,Drink,1,Dispensables,Lazy Class,Entire Class,The `Drink` class has minimal functionality and lacks meaningful behavior.,Python_Drink_Entire Class_Lazy Class
Python,Drink,2,Dispensables,Data Class,Entire Class,The class mainly stores data (`drink_type`) without encapsulating behavior.,Python_Drink_Entire Class_Data Class
Python,Drink,3,Bloaters,Primitive Obsession,create_order,Uses a primitive string (`drink_type`) instead of a structured object.,Python_Drink_create_order_Primitive Obsession
