Model,Code Smell,True Positives (TP),False Positives (FP),False Negatives (FN),Precision,Recall,F1-score
GPT-4,Large Class,21,1,1,0.9545454545454546,0.9545454545454546,0.9545454545454546
DeepSeek,Large Class,0,22,22,0.0,0.0,0.0
GPT-4,Primitive Obsession,5,4,22,0.5555555555555556,0.18518518518518517,0.2777777777777778
DeepSeek,Primitive Obsession,4,9,23,0.3076923076923077,0.14814814814814814,0.2
GPT-4,Data Clumps,8,11,13,0.42105263157894735,0.38095238095238093,0.4
DeepSeek,Data Clumps,0,22,21,0.0,0.0,0.0
GPT-4,Long Parameter List,8,8,3,0.5,0.7272727272727273,0.5925925925925926
DeepSeek,Long Parameter List,6,15,5,0.2857142857142857,0.5454545454545454,0.37499999999999994
GPT-4,Switch Statements,21,1,4,0.9545454545454546,0.84,0.8936170212765958
DeepSeek,Switch Statements,20,0,5,1.0,0.8,0.888888888888889
GPT-4,Temporary Field,1,0,8,1.0,0.1111111111111111,0.19999999999999998
DeepSeek,Temporary Field,2,9,7,0.18181818181818182,0.2222222222222222,0.19999999999999998
GPT-4,Shotgun Surgery,0,0,85,0.0,0.0,0.0
DeepSeek,Shotgun Surgery,0,10,85,0.0,0.0,0.0
GPT-4,Divergent Change,3,0,63,1.0,0.045454545454545456,0.08695652173913045
DeepSeek,Divergent Change,0,9,66,0.0,0.0,0.0
GPT-4,Parallel Inheritance Hierarchies,2,0,42,1.0,0.045454545454545456,0.08695652173913045
DeepSeek,Parallel Inheritance Hierarchies,0,0,44,0.0,0.0,0.0
GPT-4,Speculative Generality,1,0,21,1.0,0.045454545454545456,0.08695652173913045
DeepSeek,Speculative Generality,2,36,20,0.05263157894736842,0.09090909090909091,0.06666666666666667
GPT-4,Dead Code,31,6,0,0.8378378378378378,1.0,0.911764705882353
DeepSeek,Dead Code,31,17,0,0.6458333333333334,1.0,0.7848101265822784
GPT-4,Message Chains,21,0,0,1.0,1.0,1.0
DeepSeek,Message Chains,19,1,2,0.95,0.9047619047619048,0.9268292682926829
GPT-4,Middle Man,21,0,0,1.0,1.0,1.0
DeepSeek,Middle Man,20,0,1,1.0,0.9523809523809523,0.975609756097561
GPT-4,Inappropriate Intimacy,16,4,5,0.8,0.7619047619047619,0.7804878048780488
DeepSeek,Inappropriate Intimacy,5,2,16,0.7142857142857143,0.23809523809523808,0.35714285714285715
GPT-4,Long Method,20,1,1,0.9523809523809523,0.9523809523809523,0.9523809523809523
DeepSeek,Long Method,18,0,3,1.0,0.8571428571428571,0.923076923076923
GPT-4,Duplicate Code,16,8,0,0.6666666666666666,1.0,0.8
DeepSeek,Duplicate Code,16,8,0,0.6666666666666666,1.0,0.8
GPT-4,Refused Bequest,0,4,7,0.0,0.0,0.0
DeepSeek,Refused Bequest,3,15,4,0.16666666666666666,0.42857142857142855,0.24
GPT-4,Data Class,2,0,0,1.0,1.0,1.0
DeepSeek,Data Class,0,10,2,0.0,0.0,0.0
GPT-4,Feature Envy,0,1,5,0.0,0.0,0.0
DeepSeek,Feature Envy,0,10,5,0.0,0.0,0.0
GPT-4,Unnecessary Comments,0,0,1,0.0,0.0,0.0
DeepSeek,Unnecessary Comments,0,0,1,0.0,0.0,0.0
