Language,Class,Code Smell #,Category,Code Smell,Method,Type,Identifier
Python,Shop,1,Bloaters,Large Class,Entire Class,"The class has too many responsibilities (order processing, notifications, customer management, etc.)",Python_Shop_Entire Class_Large Class
Python,Shop,2,Bloaters,Primitive Obsession,__init__,Using a primitive (`bool`) for `frequent_customer_discount` instead of a more expressive construct,Python_Shop___init___Primitive Obsession
Python,Shop,3,Bloaters,Data Clumps,__init__,"Grouped customer details (`first_name`, `last_name`, `address`, `phone_number`, `email`) that should be encapsulated",Python_Shop___init___Data Clumps
Python,Shop,4,Bloaters,Long Parameter List,order_with_unnecessary_details,"Method receives multiple unrelated parameters (`first_name`, `last_name`, etc.)",Python_Shop_order_with_unnecessary_details_Long Parameter List
Python,Shop,5,Object-Orientation Abusers,Switch Statements,handle_complaint,Overuse of if-else statements to handle different complaints,Python_Shop_handle_complaint_Switch Statements
Python,Shop,6,Object-Orientation Abusers,Temporary Field,__init__,"Fields (`temp_discount_code`, `temp_order_note`) used only under specific conditions",Python_Shop___init___Temporary Field
Python,Shop,7,Change Preventers,Shotgun Surgery,update_contact_info,Multiple update methods modifying individual fields instead of a single encapsulated update,Python_Shop_update_contact_info_Shotgun Surgery
Python,Shop,8,Change Preventers,Shotgun Surgery,update_name,Splitting name updates across different methods instead of a single encapsulated update,Python_Shop_update_name_Shotgun Surgery
Python,Shop,9,Change Preventers,Shotgun Surgery,update_address,"Similar to `update_name`, updates should be encapsulated",Python_Shop_update_address_Shotgun Surgery
Python,Shop,10,Change Preventers,Shotgun Surgery,update_phone_number,Separate field update that contributes to shotgun surgery,Python_Shop_update_phone_number_Shotgun Surgery
Python,Shop,11,Change Preventers,Shotgun Surgery,update_email,Separate field update that contributes to shotgun surgery,Python_Shop_update_email_Shotgun Surgery
Python,Shop,12,Change Preventers,Divergent Change,notify_for_promotion,Multiple notification methods each handling separate concerns,Python_Shop_notify_for_promotion_Divergent Change
Python,Shop,13,Change Preventers,Divergent Change,notify_for_discount,"Related to `notify_for_promotion`, but managed separately",Python_Shop_notify_for_discount_Divergent Change
Python,Shop,14,Change Preventers,Divergent Change,notify_for_new_arrivals,Another notification method that should be unified,Python_Shop_notify_for_new_arrivals_Divergent Change
Python,Shop,15,Change Preventers,Parallel Inheritance Hierarchies,apply_discount,Parallel implementation of discount and loyalty points logic,Python_Shop_apply_discount_Parallel Inheritance Hierarchies
